"time","height","velocity","der(height)","der(velocity)"
2.38,-17.78388200000196,23.3478,-23.3478,9.81
2.4,-18.25280000000197,23.544,-23.544,9.81
2.42,-18.72564200000197,23.7402,-23.7402,9.81
2.44,-19.20240800000198,23.9364,-23.9364,9.81
2.46,-19.68309800000198,24.1326,-24.1326,9.81
2.48,-20.16771200000198,24.3288,-24.3288,9.81
2.5,-20.65625000000198,24.525,-24.525,9.81
2.52,-21.14871200000199,24.7212,-24.7212,9.81
2.54,-21.64509800000198,24.9174,-24.9174,9.81
2.56,-22.14540800000199,25.1136,-25.1136,9.81
2.58,-22.649642000002,25.3098,-25.3098,9.81
2.6,-23.157800000002,25.506,-25.506,9.81
2.62,-23.669882000002,25.7022,-25.7022,9.81
2.64,-24.185888000002,25.8984,-25.8984,9.81
2.66,-24.70581800000201,26.0946,-26.0946,9.81
2.68,-25.229672000002,26.2908,-26.2908,9.81
2.7,-25.75745000000201,26.48700000000001,-26.48700000000001,9.81
2.72,-26.28915200000202,26.6832,-26.6832,9.81
2.74,-26.82477800000202,26.8794,-26.8794,9.81
2.76,-27.364328000002,27.0756,-27.0756,9.81
2.78,-27.90780200000201,27.2718,-27.2718,9.81
2.8,-28.455200000002,27.468,-27.468,9.81
2.82,-29.00652200000201,27.6642,-27.6642,9.81
2.84,-29.56176800000202,27.8604,-27.8604,9.81
2.86,-30.12093800000201,28.0566,-28.0566,9.81
2.88,-30.68403200000202,28.2528,-28.2528,9.81
2.9,-31.25105000000202,28.449,-28.449,9.81
2.92,-31.82199200000201,28.6452,-28.6452,9.81
2.94,-32.39685800000202,28.8414,-28.8414,9.81
2.96,-32.97564800000202,29.0376,-29.0376,9.81
2.98,-33.55836200000203,29.2338,-29.2338,9.81
3,-34.14500000000203,29.43,-29.43,9.81
3.02,-34.73556200000203,29.6262,-29.6262,9.81
3.04,-35.33004800000204,29.8224,-29.8224,9.81
3.06,-35.92845800000204,30.0186,-30.0186,9.81
3.08,-36.53079200000204,30.2148,-30.2148,9.81
3.1,-37.13705000000205,30.411,-30.411,9.81
3.12,-37.74723200000204,30.6072,-30.6072,9.81
3.14,-38.36133800000205,30.8034,-30.8034,9.81
3.16,-38.97936800000205,30.9996,-30.9996,9.81
3.18,-39.60132200000205,31.1958,-31.1958,9.81
3.2,-40.22720000000206,31.392,-31.392,9.81
3.22,-40.85700200000206,31.5882,-31.5882,9.81
3.24,-41.49072800000206,31.78440000000001,-31.78440000000001,9.81
3.26,-42.12837800000204,31.9806,-31.9806,9.81
3.28,-42.76995200000205,32.1768,-32.1768,9.81
3.3,-43.41545000000205,32.373,-32.373,9.81
3.32,-44.06487200000206,32.5692,-32.5692,9.81
3.34,-44.71821800000205,32.7654,-32.7654,9.81
3.36,-45.37548800000206,32.9616,-32.9616,9.81
3.38,-46.03668200000207,33.1578,-33.1578,9.81
3.4,-46.70180000000206,33.354,-33.354,9.81
3.42,-47.37084200000206,33.5502,-33.5502,9.81
3.44,-48.04380800000207,33.7464,-33.7464,9.81
3.46,-48.72069800000207,33.9426,-33.9426,9.81
3.48,-49.40151200000207,34.1388,-34.1388,9.81
3.5,-50.08625000000208,34.335,-34.335,9.81
3.52,-50.77491200000207,34.5312,-34.5312,9.81
3.54,-51.46749800000207,34.7274,-34.7274,9.81
3.56,-52.16400800000208,34.92360000000001,-34.92360000000001,9.81
3.58,-52.86444200000207,35.1198,-35.1198,9.81
3.6,-53.56880000000208,35.316,-35.316,9.81
3.62,-54.27708200000209,35.51220000000001,-35.51220000000001,9.81
3.64,-54.98928800000208,35.7084,-35.7084,9.81
3.66,-55.70541800000208,35.9046,-35.9046,9.81
3.68,-56.42547200000209,36.10080000000001,-36.10080000000001,9.81
3.7,-57.1494500000021,36.297,-36.297,9.81
3.72,-57.87735200000211,36.4932,-36.4932,9.81
3.74,-58.6091780000021,36.68940000000001,-36.68940000000001,9.81
3.76,-59.34492800000208,36.8856,-36.8856,9.81
3.78,-60.08460200000209,37.0818,-37.0818,9.81
3.8,-60.82820000000208,37.278,-37.278,9.81
3.82,-61.57572200000208,37.4742,-37.4742,9.81
3.84,-62.32716800000208,37.6704,-37.6704,9.81
3.86,-63.08253800000209,37.86660000000001,-37.86660000000001,9.81
3.88,-63.8418320000021,38.0628,-38.0628,9.81
3.9,-64.60505000000211,38.259,-38.259,9.81
3.92,-65.37219200000212,38.4552,-38.4552,9.81
3.94,-66.14325800000211,38.6514,-38.6514,9.81
3.96,-66.91824800000211,38.8476,-38.8476,9.81
3.98,-67.69716200000209,39.0438,-39.0438,9.81
4,-68.48000000000211,39.24,-39.24,9.81
4.02,-69.2667620000021,39.4362,-39.4362,9.81
4.04,-70.0574480000021,39.6324,-39.6324,9.81
4.06,-70.85205800000209,39.82859999999999,-39.82859999999999,9.81
4.08,-71.65059200000212,40.02480000000001,-40.02480000000001,9.81
4.1,-72.45305000000211,40.221,-40.221,9.81
4.12,-73.25943200000211,40.4172,-40.4172,9.81
4.14,-74.0697380000021,40.6134,-40.6134,9.81
4.16,-74.88396800000213,40.8096,-40.8096,9.81
4.18,-75.70212200000211,41.0058,-41.0058,9.81
4.2,-76.52420000000212,41.20200000000001,-41.20200000000001,9.81
4.22,-77.35020200000211,41.3982,-41.3982,9.81
4.24,-78.18012800000213,41.59440000000001,-41.59440000000001,9.81
4.26,-79.01397800000211,41.7906,-41.7906,9.81
4.28,-79.85175200000214,41.9868,-41.9868,9.81
4.3,-80.69345000000212,42.183,-42.183,9.81
4.32,-81.53907200000214,42.3792,-42.3792,9.81
4.34,-82.38861800000213,42.5754,-42.5754,9.81
4.36,-83.24208800000213,42.77160000000001,-42.77160000000001,9.81
4.38,-84.09948200000213,42.9678,-42.9678,9.81
4.4,-84.96080000000214,43.16400000000001,-43.16400000000001,9.81
4.42,-85.82604200000213,43.36020000000001,-43.36020000000001,9.81
4.44,-86.69520800000214,43.5564,-43.5564,9.81
4.46,-87.56829800000213,43.7526,-43.7526,9.81
4.48,-88.44531200000215,43.94880000000001,-43.94880000000001,9.81
4.5,-89.32625000000213,44.145,-44.145,9.81
4.52,-90.21111200000212,44.3412,-44.3412,9.81
4.54,-91.09989800000214,44.53740000000001,-44.53740000000001,9.81
4.56,-91.99260800000211,44.7336,-44.7336,9.81
4.58,-92.88924200000214,44.9298,-44.9298,9.81
4.6,-93.78980000000212,45.126,-45.126,9.81
4.62,-94.69428200000215,45.3222,-45.3222,9.81
4.64,-95.60268800000212,45.5184,-45.5184,9.81
4.66,-96.51501800000214,45.7146,-45.7146,9.81
4.68,-97.43127200000214,45.9108,-45.9108,9.81
4.7,-98.35145000000215,46.10700000000001,-46.10700000000001,9.81
4.72,-99.27555200000214,46.3032,-46.3032,9.81
4.74,-100.2035780000022,46.49940000000001,-46.49940000000001,9.81
4.76,-101.1355280000021,46.6956,-46.6956,9.81
4.78,-102.0714020000022,46.8918,-46.8918,9.81
4.8,-103.0112000000021,47.088,-47.088,9.81
4.82,-103.9549220000022,47.28420000000001,-47.28420000000001,9.81
4.84,-104.9025680000022,47.4804,-47.4804,9.81
4.86,-105.8541380000022,47.67660000000001,-47.67660000000001,9.81
4.88,-106.8096320000022,47.87280000000001,-47.87280000000001,9.81
